Name, Calories (cal), Total Fat (g), Sat. Fat (g), Trans Fat (g), Cholesterol (mg), Sodium (mg), Carbohydrates (g), Dietary Fiber (g), Sugar (g), Protein (g)
'Cookie - Crunchy Almond - Ind', 50.0, 3.5, 0.5, 0, 0, 0, 3, 0, 2, 2
'Cookie - Gingerbread Tile', 110.0, 3.5, 2.0, 0.0, 11.5, 90.0, 19.0, 0.0, 10.0, 1.0
'Cookie - Halva Chocolate Chunk', 390.0, 23.0, 13.5, 0.5, 63.0, 280.0, 45.0, 0.0, 26.0, 5.0
'Cookie - Linzer Lg - Ind', 250.0, 13.0, 8.5, 0.5, 44.0, 140.0, 32.0, 1.0, 14.0, 3.0
'Cookie - Nutella - Box', 170.0, 10.0, 5.5, 0.5, 24.5, 80.0, 19.0, 0.0, 8.0, 2.0
'Cookie - Nutella - Ind', 80.0, 5.0, 2.5, 0.0, 12.5, 40.0, 9.0, 0.0, 4.0, 0.0
'Cookie - Nutella - Tube', 170.0, 10.0, 5.5, 0.5, 24.5, 80.0, 19.0, 0.0, 8.0, 2.0
'Cookie - Plain Butter - Box', 120.0, 7.5, 4.5, 0.5, 24.5, 75.0, 14.0, 0.0, 4.0, 2.0
'Cookie - Plain Butter - Ind', 30, 2.0, 1.0, 0.0, 6.0, 20.0, 4.0, 0.0, 1.0, 0.0
'Cookie - Plain Butter - Tube', 120.0, 7.5, 4.5, 0.5, 24.5, 75.0, 14.0, 0.0, 4.0, 2.0
'Cookie - Vanilla Shortbread - Bag', 240.0, 15.0, 9.5, 0.5, 40.0, 150.0, 28.0, 0.0, 19.0, 0
'GF Cookie - Oatmeal Raisin', 500.0, 23.5, 11.0, 0.5, 74.5, 320.0, 69.0, 4.0, 36.0, 7.0
'Nuts - Maple Pecans', 180.0, 16.0, 1.5, 0.0, 0.0, 55.0, 10.0, 2.0, 7.0, 2.0
'French Toast', 1330.0, 73.0, 34.5, 1.0, 302.0, 1190.0, 147.0, 7.0, 73.0, 30.0
'Greek Style Pancakes', 1070.0, 50.0, 22.0, 0.0, 363.5, 1190.0, 138.0, 4.0, 63.0, 23.0
'Meze Breakfast', 1190.0, 83.5, 31.5, 1.0, 547.0, 3430.0, 81.0, 6.0, 17.0, 37.0
'Savory French Toast', 1200.0, 77.5, 29.0, 1.0, 691.5, 2120.0, 95.0, 5.0, 17.0, 41.0
'Strawberry Donut', 490.0, 24.0, 13.0, 1.0, 123.0, 300.0, 59.0, 3.0, 23.0, 9.0
'Vanilla Sugar Donut', 450, 24, 13, 1, 123, 290, 48, 2, 13, 9
'Cheesecake Cup - Blue Fruit', 340.0, 26.5, 16.5, 0.5, 82.0, 135.0, 23.0, 1.0, 15.0, 4.0
'Cheesecake Cup - Crumbs', 360.0, 28.5, 18.0, 1.0, 88.5, 170.0, 24.0, 0.0, 14.0, 4.0
'Cheesecake Cup - Red Fruit', 350.0, 26.5, 16.5, 0.5, 82.0, 135.0, 25.0, 3.0, 15.0, 4.0
'Dark Chocolate Mousse - Ind', 500.0, 39.5, 24.0, 1.0, 142.5, 45.0, 29.0, 0.0, 26.0, 7.0
'Espresso Mocha Mousse - Ind', 740.0, 59.0, 35.0, 1.0, 197.5, 65.0, 41.0, 0, 35.0, 10.0
'Halva Bomb - Ind', 720.0, 47.0, 23.0, 0.5, 130.0, 160.0, 51.0, 3.0, 24.0, 12.0
'Krembo - Passion Fruit', 280.0, 18.0, 11.0, 0.5, 54.0, 115.0, 29.0, 0.0, 23.0, 2.0
'Meringue - Chocolate Coconut - Ind', 160.0, 2.0, 1.5, 0.0, 0.0, 35.0, 33.0, 0.0, 32.0, 2.0
'Pavlova - Mint Lemon Blueberry - Ind', 220.0, 16.0, 10.0, 0.5, 54.0, 15.0, 19.0, 0, 14.0, 2.0
'Cake - Coffee - Slice', 660.0, 36.0, 16.0, 0.5, 115.5, 490.0, 76.0, 3.0, 42.0, 10.0
'Pie - Apple - Slice', 530.0, 17.5, 11.0, 0.5, 46.5, 360.0, 92.0, 4.0, 61.0, 3.0
'Pie - Salted Honey Hazelnut Pecan - Slice', 680.0, 45.5, 18.0, 1.0, 120.5, 380.0, 67.0, 4.0, 42.0, 8.0
'Pie - Pumpkin with Candied Walnuts - Slice', 370.0, 18.5, 9.0, 0.5, 106.0, 270.0, 47.0, 2.0, 26.0, 7.0
'Pound Cake - Gingerbread - Slice', 610.0, 24.0, 14.5, 1.0, 167.5, 280.0, 96.0, 2.0, 66.0, 8.0
'Pound Cake - Pumpkin - Slice', 650.0, 28.0, 15.0, 1.0, 165.0, 250.0, 91.0, 3.0, 61.0, 12.0
'Tart - Fruit Box - Mixed', 530.0, 36.5, 22.5, 1.0, 99.0, 105.0, 47.0, 2.0, 13.0, 6.0
'Tart, Lemon Mint - Ind', 280.0, 21.0, 13.0, 1.0, 84.5, 25.0, 22.0, 0.0, 22.0, 2.0
'Tart - Mixed Nut - Ind', 770.0, 58.5, 18.0, 1.0, 75.5, 160.0, 56.0, 6.0, 27.0, 13.0
'Tart - Pear - Ind -', 350.0, 22.0, 9.0, 0.5, 67.5, 135.0, 36.0, 3.0, 31.0, 3.0
'Tart - Pistachio Cherry - Ind', 690.0, 42.5, 21.0, 1.5, 119.0, 260.0, 71.0, 4.0, 31.0, 10.0
'Tiramisu - Ind', 340.0, 13.5, 8.5, 0.0, 85.5, 70.0, 33.0, 0.0, 22.0, 8.0
'12 Oz Americano', 0, 0, 0, 0, 0, 15, 0, 0, 0, 0
'12 Oz Black Sesame Latte', 400.0, 23.0, 8.0, 0.0, 37.5, 220.0, 37.0, 1.0, 32.0, 13.0
'12 Oz Cafe Au Lait', 80.0, 4.0, 2.5, 0.0, 15.0, 70.0, 6.0, 0.0, 6.0, 4.0
'12 Oz Chai Latte', 150.0, 5.0, 3.0, 0.0, 19.0, 80.0, 21.0, 0.0, 20.0, 5.0
'12 Oz Coffee', 0, 0, 0, 0, 10, 0, 0, 0
'12 Oz Cold Brew', 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
'12 Oz Cold Brew - Keg', 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
'12 Oz Cold Milk', 230.0, 12.0, 7.5, 0.0, 45.0, 180.0, 18.0, 0.0, 17.0, 12.0
'12 Oz Decaf Americano', 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
'12 Oz Decaf Black Sesame Latte', 400.0, 23.0, 8.0, 0.0, 37.5, 220.0, 37.0, 1.0, 32.0, 13.0
'12 Oz Decaf Honey Halva Latte', 270.0, 13.0, 7.0, 0.0, 37.5, 170.0, 27.0, 0.0, 23.0, 11.0
'12 Oz Decaf Latte', 190.0, 10.0, 6.5, 0.0, 37.5, 150.0, 15.0, 0.0, 14.0, 10.0
'12 Oz Decaf Mocha', 360.0, 21.5, 13.0, 0.0, 37.5, 150.0, 29.0, 0.0, 25.0, 12.0
'12 Oz Decaf Pistachio Latte', 390.0, 19.0, 7.5, 0.0, 37.5, 250.0, 43.0, 2.0, 38.0, 14.0
'12 Oz Honey Halva Latte', 270.0, 13.0, 7.0, 0.0, 37.5, 170.0, 27.0, 0.0, 23.0, 11.0
'12 Oz Hot Chocolate', 470.0, 29.0, 18.0, 0.0, 37.5, 150.0, 38.0, 0.0, 33.0, 14.0
'12 Oz Iced Black Tea - Cup', 0, 0, 0, 0, 0, 15, 0, 0, 0, 0
'12 Oz Iced Blood Orange Hibiscus Tea - Cup', 0, 0, 0, 0, 0, 15, 0, 0, 0, 0
'12 Oz Iced Green Tea - Cup', 0, 0, 0, 0, 0, 15, 0, 0, 0, 0
'12 Oz Latte', 190.0, 10.0, 6.5, 0, 37.5, 150.0, 15.0, 0, 14.0, 10.0
'12 Oz London Fog', 120.0, 4.0, 2.5, 0.0, 15.0, 60.0, 18.0, 0.0, 17.0, 4.0
'12 Oz Matcha Latte', 190.0, 10.0, 6.5, 0.0, 37.5, 150.0, 15.0, 0.0, 14.0, 10.0
'12 Oz Mocha', 360.0, 21.5, 13.0, 0.0, 37.5, 150.0, 29.0, 0.0, 25.0, 12.0
'12 Oz Nitro', 10.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
'12 Oz Pistachio Latte', 390.0, 19.0, 7.5, 0.0, 37.5, 250.0, 43.0, 2.0, 38.0, 14.0
'12 Oz Red Eye', 0, 0, 0, 0, 0, 10, 0, 0, 0, 0
'12 Oz Steamed Milk', 190.0, 10.0, 6.5, 0.0, 37.5, 150.0, 15.0, 0.0, 14.0, 10.0
'12 Oz Turmeric & Honey Latte', 240.0, 10.0, 6.5, 0.0, 37.5, 150.0, 29.0, 0.0, 24.0, 10.0
'16 Oz Americano', 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
'16 Oz Cafe Au Lait', 80.0, 4.0, 2.5, 0.0, 15.0, 75.0, 6.0, 0.0, 6.0, 4.0
'16 Oz Chai Latte', 170.0, 6.0, 4.0, 0.0, 22.5, 95.0, 25.0, 0.0, 24.0, 6.0
'16 Oz Coffee', 0, 0, 0, 0, 15, 0, 0, 0, 0
'16 Oz Cold Brew', 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
'16 Oz Cold Brew - Keg', 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
'16 Oz Cold Milk', 300.0, 16.0, 10.0, 0.0, 60.0, 240.0, 24.0, 0.0, 22.0, 16.0
'16 Oz Decaf Americano', 0, 0, 0, 0, 0, 0, 0, 0, 0
'16 Oz Decaf Latte', 230.0, 12.0, 7.5, 0.0, 45.0, 180.0, 18.0, 0.0, 17.0, 12.0
'16 Oz Decaf Mocha', 450.0, 27.0, 16.5, 0.0, 45.0, 180.0, 36.0, 0.0, 32.0, 15.0
'16 Oz Hot Chocolate', 560.0, 35.0, 21.5, 0.0, 45.0, 180.0, 45.0, 0.0, 39.0, 16.0
'16 Oz Iced Black Tea - Cup', 0, 20, 0, 0, 0, 0
'16 Oz Iced Blood Orange Hibiscus Tea - Cup', 0, 0, 0, 0, 20, 0, 0, 0, 0
'16 Oz Iced Green Tea - Cup', 0, 0, 0, 0, 20, 0, 0, 0, 0
'16 Oz Iced Turmeric & Honey Latte', 240.0, 10.0, 6.5, 0.0, 37.5, 150.0, 29.0, 0.0, 24.0, 10.0
'16 Oz Latte', 230.0, 12.0, 7.5, 0.0, 45.0, 180.0, 18.0, 0.0, 17.0, 12.0
'16 Oz London Fog', 150.0, 4.0, 2.5, 0.0, 15.0, 60.0, 24.0, 0.0, 23.0, 4.0
'16 Oz Matcha Latte', 230.0, 12.0, 7.5, 0.0, 45.0, 180.0, 18.0, 0.0, 17.0, 12.0
'16 Oz Mocha', 450.0, 27.0, 16.5, 0.0, 45.0, 180.0, 36.0, 0.0, 32.0, 15.0
'16 Oz Nitro', 10.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
'16 Oz Red Eye', 0, 0, 0, 0, 0, 15, 0, 0, 0, 0
'16 Oz Sparkling Matcha Lemonade', 80.0, 0.0, 0.0, 0.0, 0.0, 0.0, 21.0, 0.0, 20.0, 0.0
'16 Oz Steamed Milk', 300.0, 16.0, 10.0, 0.0, 60.0, 240.0, 24.0, 0.0, 22.0, 16.0
'8 Oz Decaf Flat White', 110, 6, 4, 0, 22.5, 90, 9, 0, 8, 6
'8 Oz Flat White', 110.0, 6.0, 4.0, 0.0, 22.5, 90.0, 9.0, 0.0, 8.0, 6.0
'Blood Orange Hibiscus Tea - Cup', 0, 15
'Blood Orange Hibiscus Tea Pot', 0, 0, 0, 0, 0, 25, 0, 0, 0, 0
'Box Of Coffee - (8 servings)', 0, 0, 0, 0, 0, 15, 0, 0, 0, 0
'Cappuccino', 110.0, 6.0, 4.0, 0.0, 22.5, 90.0, 9.0, 0.0, 8.0, 6.0
'Chamomile Tea - Cup', 0, 0, 0, 0, 0, 15, 0, 0, 0, 0
'Chamomile Tea - Pot', 0, 0, 0, 0, 0, 25, 0, 0, 0, 0
'Cortado', 80.0, 4.0, 2.5, 0.0, 15.0, 60.0, 6.0, 0.0, 6.0, 4.0
'Decaf Cappuccino', 110.0, 6.0, 4.0, 0.0, 22.5, 90.0, 9.0, 0.0, 8.0, 6.0
'Decaf Cortado', 80.0, 4.0, 2.5, 0.0, 15.0, 60.0, 6.0, 0.0, 6.0, 4.0
'Decaf Double Espresso', 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
'Decaf Macchiato', 80.0, 4.0, 2.5, 0.0, 15.0, 60.0, 6.0, 0.0, 6.0, 4.0
'Double Espresso', 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
'Earl Grey Tea - Cup', 0, 0, 0, 0, 0, 15, 0, 0, 0, 0
'Earl Grey Tea - Pot', 0.0, 0.0, 0.0, 0.0, 0.0, 25.0, 0.0, 0.0, 0.0, 0.0
'English Breakfast Tea - Cup', 0, 0, 0, 0, 0, 15, 0, 0, 0, 0
'English Breakfast Tea - Pot', 0.0, 0.0, 0.0, 0.0, 0.0, 25.0, 0.0, 0.0, 0.0, 0.0
'Espresso Shot', 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
'Golden Green Tea - Cup', 0.0, 0.0, 0.0, 0.0, 0.0, 15.0, 0.0, 0.0, 0.0, 0.0
'Golden Green Tea - Pot', 0, 0, 0, 0, 0, 25, 0, 0, 0, 0
'Iced 12 Oz Americano', 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
'Iced 12 Oz Chai Latte', 120, 4.0, 2.5, 0, 15, 65, 17, 0, 16, 4
'Iced 12 Oz Decaf Americano', 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
'Iced 12 Oz Decaf Honey Halva Latte', 190.0, 9.0, 4.5, 0.0, 22.5, 110.0, 21.0, 0, 17.0, 7.0
'Iced 12 Oz Decaf Latte', 130.0, 7.0, 4.5, 0.0, 26.5, 105.0, 11.0, 0, 10.0, 7.0
'Iced 12 Oz Decaf Mocha', 280.0, 17.5, 10.5, 0.0, 22.5, 90.0, 23.0, 0.0, 20.0, 8.0
'Iced 12 Oz Honey Halva Latte', 190.0, 9.0, 4.5, 0.0, 22.5, 110.0, 21.0, 0.0, 17.0, 7.0
'Iced 12 Oz Latte', 130.0, 7.0, 4.5, 0.0, 26.5, 105.0, 11.0, 0.0, 10.0, 7.0
'Iced 12 Oz Matcha Latte', 130.0, 7.0, 4.5, 0.0, 26.5, 105.0, 11.0, 0.0, 10.0, 7.0
'Iced 12 Oz Mocha', 280.0, 17.5, 10.5, 0.0, 22.5, 90.0, 23.0, 0.0, 20.0, 8.0
'Iced 12 Oz Red Eye - (W/Concentrate)', 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
'Iced 12 Oz Red Eye - (W/Keg)', 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
'Iced 16 Oz Americano', 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
'Iced 16 Oz Black Sesame Latte', 360.0, 21.0, 6.5, 0.0, 30.0, 190.0, 34.0, 1.0, 29.0, 11.0
'Iced 16 Oz Chai Latte', 150.0, 5.0, 3.0, 0.0, 19.0, 80.0, 21.0, 0.0, 20.0, 5.0
'Iced 16 Oz Decaf Americano', 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
'Iced 16 Oz Decaf Black Sesame Latte', 360.0, 21.0, 6.5, 0.0, 30.0, 190.0, 34.0, 1.0, 29.0, 11.0
'Iced 16 Oz Decaf Latte', 190.0, 10.0, 6.5, 0.0, 37.5, 150.0, 15.0, 0.0, 14.0, 10.0
'Iced 16 Oz Decaf Mocha', 370.0, 23.0, 14.0, 0.0, 30.0, 120.0, 30.0, 0.0, 26.0, 11.0
'Iced 16 Oz Decaf Pistachio Latte', 350.0, 17.0, 6.0, 0.0, 30.0, 220.0, 40.0, 2.0, 35.0, 12.0
'Iced 16 Oz Latte', 190, 10, 6.5, 0, 37.5, 150, 15, 0, 14, 10
'Iced 16 Oz Matcha Latte', 170.0, 9.0, 5.5, 0.0, 34.0, 135.0, 14.0, 0.0, 12.0, 9.0
'Iced 16 Oz Mocha', 370.0, 23.0, 14.0, 0.0, 30.0, 120.0, 30.0, 0.0, 26.0, 11.0
'Iced 16 Oz Pistachio Latte', 350.0, 17.0, 6.0, 0.0, 30.0, 220.0, 40.0, 2.0, 35.0, 12.0
'Iced 16 Oz Red Eye - (W/Concentrate)', 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
'Iced 16 Oz Red Eye - (W/Keg)', 0, 0, 0, 0, 0, 0, 0, 0, 0
'Kale And Apple Juice G&G', 120, 0, 0, 0, 0, 55, 29, 2, 19, 2
'Macchiato', 80.0, 4.0, 2.5, 0, 15.0, 60.0, 6.0, 0, 6.0, 4.0
'Mint Lemonade G&G', 130, 0, 0, 0, 0, 10, 34, 0, 31, 0
'Moroccan Mint Tea - Cup', 0, 0, 0, 0, 0, 15, 0, 0, 0
'Moroccan Mint Tea - Pot', 0, 0, 0, 0, 25, 0, 0, 0
'Orange Juice G&G', 360.0, 0.0, 0.0, 0.0, 0.0, 81.0, 2.0, 65.0, 0.0
'Pear Juice G&G', 170.0, 0.0, 0.0, 0.0, 0.0, 15.0, 42.0, 0.0, 36.0, 0.0
'Preserved Fig - Lemon - & Mint Soda', 160, 0, 0, 0, 0, 30, 0, 33, 0
'Water - Tatte', 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
'Add Arugula', 5.0, 0.0, 0.0, 0.0, 0.0, 4.0, 1.0, 0.0, 0.0
'Add Avocado - (about half an avocado)', 160.0, 15.0, 2.0, 0.0, 0.0, 5.0, 9.0, 7.0, 1.0, 2.0
'Add Bacon - (2 slices)', 100.0, 8.0, 2.5, 0.0, 20.0, 360.0, 0.0, 0.0, 0.0, 7.0
'Add Butter - (2 packets)', 120.0, 12.0, 8.0, 0.0, 30.0, 100.0, 0.0, 0.0, 0.0, 0.0
'Add Cheddar Cheese - (1 slice)', 110.0, 9.0, 5.0, 0.0, 30.0, 180.0, 1.0, 0.0, 1.0, 7.0
'Add Chicken - (4 oz)', 110.0, 1.0, 0.0, 0.0, 70.5, 40.0, 0.0, 0.0, 0.0, 24.0
'Add Edamame', 60.0, 2.5, 0.0, 0.0, 0.0, 0.0, 4.0, 3.0, 1.0, 6.0
'Add Egg', 70.0, 4.5, 1.5, 0.0, 215.0, 65.0, 1.0, 0.0, 0.0, 6.0
'Add Fava Beans', 30, 0, 0, 0, 0, 20, 5, 2, 0, 2
'Add Feta', 130.0, 10.0, 7.0, 0.0, 20.0, 790.0, 2.0, 0.0, 0.0, 11.0
